vegetable,sow_type,harvest_days,plant_spacing,seed_depth,sow_window_start,sow_window_end,transplant_window_start,transplant_window_end,harvest_window_start,harvest_window_end
Asparagus,Direct,30,12,0.5,2022-03-15,2022-04-25,,,2022-04-25,2022-06-25
Bush Beans,Direct,50,1,1,2022-04-15,2022-08-05,,,2022-06-05,2022-10-25
Pole Beans,Direct,60,4,1,2022-04-15,2022-07-15,,,2022-06-15,2022-10-25
Lima Beans,Direct,80,6,1,2022-04-25,2022-07-25,,,2022-07-25,2022-10-25
Beets,Direct,70,2,1,2022-03-05,2022-05-05,,,2022-05-15,2022-07-05
Broccolli,Transplant,70,12,0.5,,,2022-03-15,2022-05-05,2022-05-25,2022-07-15
Brussels Sprouts,Transplant,90,18,0.5,,,2022-07-25,2022-08-15,2022-10-25,2022-12-05
Cabbage,Transplant,50,12,0.5,,,2022-03-15,2022-05-05,2022-05-05,2022-07-05
Chinese Cabbage,Transplant,70,4,0.5,,,2022-03-15,2022-05-05,2022-05-25,2022-07-05
Carrots,Direct,60,1.5,0.5,2022-03-05,2022-04-25,,,2022-05-05,2022-07-15
Cauliflower,Transplant,70,12,0.5,,,2022-03-15,2022-04-15,2022-05-25,2022-06-25
Swiss Chard,Direct,60,6,0.5,2022-03-15,2022-05-05,,,2022-05-05,2022-09-15
Kale,Direct,60,12,0.5,2022-02-25,2022-04-25,,,2022-04-25,2022-06-25
Cucumbers,Direct,50,12,1,2022-04-15,2022-06-05,,,2022-07-25,2022-10-25
Eggplant,Transplant,80,18,0.25,2022-04-15,2022-07-05,,,2022-07-05,2022-10-15
Kohlrabi,Direct,60,4,0.5,2022-03-05,2022-04-25,,,2022-05-05,2022-06-15
Leeks,Transplant,80,4,0.5,,,2022-03-15,2022-04-25,2022-06-05,2022-07-25
Lettuce,Transplant,50,6,0.5,,,2022-03-15,2022-05-15,2022-05-05,2022-06-25
Muskmelons,Direct,70,24,1,2022-04-15,2022-07-05,,,2022-06-25,2022-10-25
Mustard,Direct,40,2,0.5,2022-02-25,2022-04-25,,,2022-04-15,2022-06-15
Okra,Direct,80,12,1,2022-04-25,2022-07-25,,,2022-07-15,2022-10-25
Onions,Transplant,70,2,1,,,2022-02-25,2022-05-05,2022-06-05,2022-08-15
Peas,Direct,40,2,0.5,2022-02-25,2022-04-05,,,2022-04-25,2022-06-15
Peppers,Transplant,70,12,0.25,,,2022-04-15,2022-07-25,2022-06-25,2022-11-05
Potatoes,Direct,80,10,4,2022-03-15,2022-05-25,,,2022-05-25,2022-10-25
Pumpkins,Direct,80,24,0.5,2022-04-25,2022-07-05,,,2022-07-15,2022-11-05
Radish,Direct,40,1,0.5,2022-02-25,2022-05-05,,,2022-04-05,2022-06-05
Rutabaga,Direct,80,3,0.5,2022-07-25,2022-08-25,,,2022-10-15,2022-12-31
Southern Pea,Direct,70,3,0.75,2022-05-05,2022-08-05,,,2022-07-15,2022-11-05
Spinach,Direct,40,4,0.5,2022-02-25,2022-04-15,,,2022-04-05,2022-06-05
Summer Squash,Direct,40,18,2,2022-04-15,2022-08-25,,,2022-05-25,2022-10-25
Winter Squash,Direct,90,24,1,2022-04-05,2022-07-05,,,2022-07-05,2022-10-25
Sweet Corn,Direct,70,6,2,2022-04-05,2022-07-25,,,2022-06-15,2022-10-25
Sweet Potato,Direct,80,9,3,2022-04-25,2022-07-15,,,2022-08-15,2022-10-25
Tomatoes,Transplant,60,18,0.25,,,2022-04-15,2022-07-25,2022-06-15,2022-10-25
Turnips,Direct,60,2,0.5,2022-03-05,2022-04-25,,,2022-05-05,2022-06-15
Watermelom,Direct,70,36,0.5,2022-04-25,2022-07-15,,,2022-07-05,2022-10-25